Year,Disaster Type,Country,Location,Total Deaths,ISO
1999,Flood,Korea (the Republic of),"Hwachon, Paju, Seoul and Yonchon (Kyonggi-do and Kangwon-do provinces)",64,KOR
1999,Storm,Korea (the Republic of),"Kyongsang-Namdo, Kyongsang-Pukto, Cholla-Namdo",4,KOR
1999,Miscellaneous accident,Korea (the Republic of),Hwasong (Province Kyonggi),23,KOR
1999,Miscellaneous accident,Korea (the Republic of),Inchon,54,KOR
1999,Drought,Lao People's Democratic Republic (the),,,LAO
1999,Flood,Sri Lanka,"Ratnapura, Colombo, Gampaha, Kalutara, Galle, Matara, Kandy, Kegalle, Level 1 = Central, Sabaragamuwa, Southern, Western",6,LKA
1999,Epidemic,Sri Lanka,"Colombo, Kegalle, Badulla, Matara, Wellawaya (cities) Level 1 = Sabaragamuwa, Southern, Uva, Western",1,LKA
1999,Transport accident,Maldives,Indian Ocean,10,MDV
1999,Flood,Myanmar,Eastern Part Of Burma,22,MMR
1999,Flood,Malaysia,"Pekan (Pahang State), Johor, Terengganu states",1,MYS
1999,Flood,Nepal,,170,NPL
1999,Wildfire,Nepal,,32,NPL
1999,Epidemic,Nepal,Kailali District - Seti Province,150,NPL
1999,Transport accident,Nepal,Near Kathmandu,15,NPL
1999,Transport accident,Nepal,Near Kathmandu,10,NPL
1999,Transport accident,Nepal,Kapurbot Bazar (Salyan District),32,NPL
2000,Drought,India,"New Delhi city (Delhi province), Gujarat, Rajasthan, Madhya Prasdesh, Andhra Pradesh, Orissa, Maharashtra provinces",20,IND
2000,Storm,Sri Lanka,"Ampara, Batticaloa, Trincomalee districts (Eastern province), Anuradhapura, Polonnaruwa districts (North Central province), Mannar district (Northern province)",5,LKA
2000,Storm,Iran (Islamic Republic of),Gilan province,3,IRN
2000,Flood,China,"Hu Xian (Xi'an district, Shaanxi Sheng province), Ziyang Xian (Ankang district, Shaanxi Sheng province)",203,CHN
2000,Earthquake,Indonesia,"Enggano island (Bengkulu Utara district, Bengkulu province)",103,IDN
2000,Flood,Indonesia,"Taliwan area (Sumbawa Barat district, Nusatenggara Barat province), Lunyuk area (Sumbawa district, Nusatenggara Barat province), Kulonprogo district (Daerah Istimewa Yogyakarta province), Bolaangmongondow, Minahasa, Kota Bitung, Kota Manado districts (Sulawesi Utara province) ",38,IDN
2000,Earthquake,Japan,"Aimityoo, Kisimototyoo, Mizokutityoo, Saihakutyoo, Daisentyoo, Nawatyoo, Nakayamatyoo, Hieduson districts (Tottori province), Simane, Okayama provinces",,JPN
2000,Flood,Japan,"Aiti, Sizuoka, Mie, Gifu provinces",18,JPN
2000,Earthquake,Indonesia,"Totikum, Tinangkung, Liang villages (Banggai Kepulauan district, Sulawesi Tengah province), Banggai district (Sulawesi Tengah province)",45,IDN
2000,Flood,India,"Yingkiang,Tuting villages (Upper Siang (70051) district, Arunachal Pradesh province), Along, Boleng villages (70054 district, Arunachal Pradesh province), Pasighat, Sika-bamin, Komlighat, Raneghat (70041 district, Arunachal Pradesh province), Tezu, Mahadevpur villages (Lohit district, Arunachal Pradesh province), Golaghat, Nagaon districts (Assam province), ",20,IND
2000,Storm,Japan,"Tiba, Ibaraki provinces",,JPN
2000,Storm,Mongolia,"Bayanxongor, O'mnogovi, Xo'vsgol, Zavxan, O'vorxangai, Uvs, Dundgovi, Govi-Altai, Dornogovi, Bulgan, Bayan-O'lgii, To'v provinces",4,MNG
2000,Drought,Mongolia,"Guulin town (Delger district, Govi-Altai province), Galshir district (Xentii province), Ider district (Zavxan province), Mo'st, Manxan, Bulgan, U'yench district (Xovd province), Bugat, Jargalan districts (Govi-Altai province), Bogd, Jinst, Baacagaan, Bayan-O'ndor districts (Bayanxongor province), Bayandelger, Tu'vshinshiree, Uulbayan, Asgat districts (Su'xbaatar province), Dornogovi, Dundgovi, O'mnogovi provinces",,MNG
2000,Industrial accident,China,"Xi'an (Jilin, near Liaoyuan)",31,CHN
2000,Industrial accident,China,Qingzhou (Shandong province),38,CHN
2000,Industrial accident,China,Pinghu (Nanchang province),14,CHN
2000,Industrial accident,China,Xuzhou (Jiangsu Province),22,CHN
2000,Industrial accident,China,Nandan county (Guangxi province),115,CHN
2000,Miscellaneous accident,China,Nandan district (Guangxi region),15,CHN
2000,Miscellaneous accident,China,Dongguan (Guangdong province),8,CHN
2000,Miscellaneous accident,China,Xiangxiang (Hunan Province),13,CHN
2000,Drought,China,"Jilin Sheng, Jiangxi Sheng, Anhui Sheng provinces",,CHN
2000,Drought,China,Nei Mongol Zizhiqu province ,,CHN
2000,Drought,China,Guangdong Sheng province,,CHN
2000,Miscellaneous accident,China,Xiangtan (Hunan Province),12,CHN
2000,Miscellaneous accident,China,Guigang (Guangxi Province),10,CHN
2000,Miscellaneous accident,China,Jiaozou (Henan province),74,CHN
2000,Miscellaneous accident,China,Shandong's Dezhou,13,CHN
2000,Miscellaneous accident,China,Luoyang,309,CHN
2000,Storm,China,"Qi Xian area (Jinzhong district, Shanxi Sheng province)",16,CHN
2000,Storm,China,Ili Kazakh district (Xinjiang Uygur Zizhiqu province),9,CHN
2000,Storm,China,"Guangdong Sheng, Guangxi Zhuangzu Zizhiqu, Hainan Sheng provinces",15,CHN
2000,Storm,China,Quanzhou district (Fujian Sheng province),33,CHN
2000,Flood,China,"Baiyu Xian area (Garze Tibetan district, Sichuan Sheng province)",54,CHN
2000,Storm,China,"Nanzheng Xian, Liuba Xian areas (Hanzhong district, Shaanxi Sheng province)",10,CHN
2000,Extreme temperature ,Cyprus,Nicosia province,5,CYP
2000,Wildfire,Cyprus,Larnaca province,,CYP
2000,Drought,Cyprus,"Famgusta, Kyrenia, Larnaca, Limassol, Nicosia, Paphos provinces",,CYP
2000,Transport accident,Georgia,"Mount Mtirala (near Batoumi, Georgia)",82,GEO
2000,Drought,Georgia,"Kakheti, Kvemo Kartli, Samtskhe-Javakheti, Mtskheta-Mtianeti, Shida Kartli, Imereti provinces",,GEO
2000,Miscellaneous accident,Hong Kong,Lantau,,HKG
2000,Earthquake,Indonesia,"Ciranggon village (Karawang district, Jawa Barat province)",,IDN
2000,Earthquake,Indonesia,"Pandeglang, Lebak, Serang districts (Banten province)",,IDN
2000,Earthquake,Indonesia,Lahat district (Sumatera Selatan province),1,IDN
2000,Flood,Indonesia,"Malaka Tengah, Malaka Barat areas (Belu district, Nusatenggara Timur province)",126,IDN
2000,Flood,Indonesia,"Aceh Besar, Aceh Utara districts (Nangroe Aceh Darussalam province), Pesisir Selatan, Tanahdatar, Solok districts (Sumatera Barat province) Dairi, Deli Serdang districts (Sumatera Utara province), Riau, Jambi provinces",100,IDN
2000,Landslide,Indonesia,"Banggai city (Banggai Kepulauan district, Sulawesi Tengah province)",,IDN
2000,Landslide,Indonesia,"Purworejo, Purbalingga, Kebumen districts (Jawa Tengah province)",52,IDN
2000,Wildfire,Indonesia,"Riau province (Sumatra Isl.), Kalimatan Barat, Kalimatan Tengah provinces (Borneo Isl.) ",,IDN
2000,Epidemic,Indonesia,Jakarta,10,IDN
2000,Epidemic,Indonesia,Ngada district (Flores Isl.),15,IDN
2000,Transport accident,Indonesia,Woosobo (Java),13,IDN
2000,Transport accident,Indonesia,Java,13,IDN
2000,Transport accident,Indonesia,Java Isl.,26,IDN
2000,Transport accident,Indonesia,"Dukuh Karak (Cilacap district, Java Isl.)",10,IDN
2000,Transport accident,Indonesia,Lahat,31,IDN
2000,Transport accident,Indonesia,Ambon Island,41,IDN
2000,Transport accident,Indonesia,"Sangihe-Talaud Isl., off Sulawesi Isl.",481,IDN
2000,Transport accident,Indonesia,Padang Panjang,32,IDN
2000,Transport accident,Indonesia,Near Katanggan village (Java Isl.),16,IDN
2000,Transport accident,Indonesia,Surabaya (East Java),11,IDN
2000,Miscellaneous accident,Indonesia,Jakarta,10,IDN
2000,Landslide,Indonesia,Brebes district (Jawa Tengah province),34,IDN
2000,Landslide,Indonesia,"Cilacap, Banyumas districts (Jawa Tengah province)",40,IDN
2000,Flood,India,"East Siang, 70041, West Siang, 70054, Upper Siang (70051), 70045, 70050, Lower Dibang Valley districts (Arunachal Pradesh province)",130,IND
2000,Flood,India,"Adilabad, Cuddapah, East Godavari, Guntur, Hyderabad, Karimnagar, Khammam, Krishna, Kurnool, Mahbubnagar, Medak, Nalgonda, Nellore, Nizamabad, Prakasam, Rangareddi, Vishakhapatnam, Warangal, West Godavari districts (Andhra Pradesh province)",179,IND
2000,Flood,India,"Katihar, Sitamarhi districts (Bihar province), Kinnaur district (Himachal Pradesh province), Bankura, Barddhaman, Birbhum, Haora, Hugli, Maldah, Murshidabad, Nadia, North 24 Parganas, West Midnapore districts (West Bengal province), Pithoragarh, Naini Tal districts (Uttarakhand province), Ahmadabad district (Gujarat province), Andhra Pradesh, Assam, Arunachal Pradesh, Madhya Pradesh, Punjab, Uttar Pradesh, Maharashtra, Rajasthan, Chandigarh, Kerala",867,IND
2000,Flood,India,"Birbhum, Bardhaman, Murshidabad, Maldah districts (West Bengal province), Dumka, Sahibganj, Deoghar districts (Jharkhand province), Banka, Bhagalpur, Munger, Sheikhpura districts (Bihar province)",884,IND
2000,Landslide,India,"Moradabad, Bijnor districts (Uttar Pradesh province), Uttarakhand province",43,IND
2000,Landslide,India,"Ghatkopar village (Mumbai Suburban district, Maharashtra province)",58,IND
2000,Landslide,India,"Pithoragarh, Naini Tal districts (Uttarakhand province)",86,IND
2000,Storm,India,Andhra Pradesh province,,IND
2000,Storm,India,"Nagappattinam, Thanjavur, Sirkali, Papanasam, Tiruvallur, Tiruvarur areas (Cuddalore district, Tamil Nadu province), Andhra Pradesh province",,IND
2000,Extreme temperature ,India,"Bihar, Uttar Pradesh, West Bengal provinces",275,IND
2000,Epidemic,India,Delhi,,IND
2000,Epidemic,India,"Mumbai, Thane districts",27,IND
2000,Epidemic,India,"Gonda, Banda districts (Uttar Pradesh)",84,IND
2000,Epidemic,India,Uttar Pradesh,34,IND
2000,Epidemic,India,Andhra Pradesh state,14,IND
2000,Epidemic,India,Supaul district (Bihar),13,IND
2000,Epidemic,India,Nawadah district (Bihar),19,IND
2000,Transport accident,India,Patna,56,IND
2000,Transport accident,India,Etat du Penjab,18,IND
2000,Transport accident,India,Near Bhopal,16,IND
2000,Transport accident,India,Near Bhopal,24,IND
2000,Transport accident,India,Almora district (Uttar Pradesh),53,IND
2000,Transport accident,India,Midnapore,20,IND
2000,Transport accident,India,Near Doda (Cachemire Indien),26,IND
2000,Transport accident,India,Near Chamba (Uttar Pradesh),18,IND
2000,Transport accident,India,Banihal (Cachemire),27,IND
2000,Transport accident,India,"Chamoli (Chamba region, Himachal Pradesh state)",50,IND
2000,Transport accident,India,Kalel (Himachal Pradesh),36,IND
2000,Transport accident,India,Tehri Garwal (Uttar Pradesh),29,IND
2000,Transport accident,India,Chindwara (Madhya Pradesh),24,IND
2000,Transport accident,India,Near Sarahan,41,IND
2000,Transport accident,India,Mangole (Karnataka),25,IND
2000,Transport accident,India,Bihar State,10,IND
2000,Transport accident,India,"Raja Ka Bagh area (Near Dharamsala, Himachal Pradesh)",22,IND
2000,Transport accident,India,Sarai Banjara (Punjab state),42,IND
2000,Transport accident,India,Pali district (Rajastan),,IND
2000,Industrial accident,India,"Udumalpet (Coimbatore district, Tamil Nadu)",,IND
2000,Miscellaneous accident,India,Tundla (Uttar Pradesh),25,IND
2000,Miscellaneous accident,India,Daltonganj (Bihar),29,IND
2000,Miscellaneous accident,India,"Bairagarh, Bhopal",,IND
2000,Miscellaneous accident,India,"Kalluvathukal, Kollam (Kerala)",31,IND
2000,Miscellaneous accident,India,Pusawar (Near Bhusawal),18,IND
2000,Epidemic,India,West Bengal,51,IND
2000,Flood,India,North 24 Parganas district (West Bengal province),6,IND
2000,Earthquake,Iran (Islamic Republic of),"Kashmar, Bardeskan districts (Khorasan)",1,IRN
2000,Earthquake,Iran (Islamic Republic of),"Mohammadieh, Sarhozak, Hajiabad areas (Kashmar district, Khorasan province)",,IRN
2000,Flood,Iran (Islamic Republic of),"Maneh Va Samalqan area (Bojnord district, Khorasan province)",8,IRN
2000,Flood,Iran (Islamic Republic of),"Lorestan, Khuzestan, Gilan provinces",,IRN
2000,Transport accident,Iran (Islamic Republic of),Tehran,10,IRN
2000,Transport accident,Iran (Islamic Republic of),Near Natanz,13,IRN
2000,Transport accident,Iran (Islamic Republic of),Between Malayer - Bouroudjerd (Sus-Ouest Teheran),16,IRN
2000,Transport accident,Iran (Islamic Republic of),Between Damghan and Semnan (South-East Teheran),11,IRN
2000,Transport accident,Iran (Islamic Republic of),Near Behchahr,15,IRN
2000,Transport accident,Iran (Islamic Republic of),Near Ispahan,11,IRN
2000,Transport accident,Iran (Islamic Republic of),Near Neichabour (Khorrassan province),11,IRN
2000,Transport accident,Iran (Islamic Republic of),Near Khorammabad,12,IRN
2000,Miscellaneous accident,Iran (Islamic Republic of),Kouchki (Khorassan province),10,IRN
2000,Epidemic,Iran (Islamic Republic of),"Dol Avkurt camps, Kandil Montain",76,IRN
2000,Flood,Iran (Islamic Republic of),Gonbad-e Kavus district (Golestan province),2,IRN
2000,Transport accident,Iraq,Between Bagdad and Kirkouk,15,IRQ
2000,Extreme temperature ,Israel,"Central District, Haifa, Jerusalem, Northern, Southern District, Tel Aviv provinces",,ISR
2000,Epidemic,Israel,"Jerusalem, Tel Aviv, Golan",12,ISR
2000,Storm,Israel,"Jerusalem, Tel Aviv provinces",3,ISR
2000,Extreme temperature ,Jordan,Amman province,,JOR
2000,Transport accident,Jordan,Mafraq,14,JOR
2000,Drought,Jordan,"Ajloon, Amman, Aqaba, Balqa, Irbid, Jarash, Karak, Ma'an, Madaba, Mafraq, Tafiela, Zarqa provinces",,JOR
2000,Storm,Jordan,"Ajloon, Amman, Aqaba, Balqa, Irbid, Jarash, Karak, Ma'an, Madaba, Mafraq, Tafiela, Zarqa provinces",9,JOR
2000,Earthquake,Japan,"Koodusimamura, Niizimamura districts (Tookyoo province)",1,JPN
2000,Volcanic activity,Japan,"Abutatyoo, Datesi, Soobetutyoo districts (Hokkaidoo province)",,JPN
2000,Volcanic activity,Japan,Miyakemura district (Tookyoo province),,JPN
2000,Storm,Japan,Tookyoo province,4,JPN
2000,Storm,Japan,"Aiti, Mie, Gifu provinces",9,JPN
2000,Transport accident,Japan,Pacific Ocean (Hokkaido Isl.),14,JPN
2000,Industrial accident,Japan,Taketovo (Aichi prefecture),,JPN
2000,Industrial accident,Japan,Osaka area,,JPN
2000,Epidemic,Kazakhstan,Kyzylzhar district,,KAZ
2000,Flood,Kazakhstan,"Denisovskiy, Zhitikara, Taran, Qostanay districts (Kustanayskaya province)",,KAZ
2000,Extreme temperature ,Kyrgyzstan,"Bishkek, Chuy, Talas, Ysyk-Kol provinces",11,KGZ
2000,Flood,Cambodia,"Stung Treng, Kratie, Koh Kong, Kampong Cham, Pursat, Kampong Thom, Takeo, Siem Reap, Otdar Meanchey, Kampot, Svay Rieng, Kandal, Phnom Penh, Prey Veng, Kampong Chhnang, Ratanak Kiri, Preah Vihear, Battambang, Banteay Meanchey, Kampong Speu provinces",347,KHM
2000,Flood,Korea (the Republic of),"Chollanam-do, Chollabuk-do, Chungchongnam-do, Seoul, Kyonggi-do provinces",7,KOR
2000,Storm,Korea (the Republic of),"Chollabuk-do, Chungchongnam-do, Cheju-do provinces",25,KOR
2000,Storm,Korea (the Republic of),"Kyongsangbuk-do, Kyongsangnam-do provinces",8,KOR
2000,Wildfire,Korea (the Republic of),"Kangnung, Tonghae, Samchok cities (Kang-won-do province)",2,KOR
2000,Epidemic,Korea (the Republic of),Kyungbuk province,6,KOR
2000,Transport accident,Korea (the Republic of),Near Kimchon,18,KOR
2000,Transport accident,Korea (the Republic of),Mer Jaune (au large de l'île Soheuksan),11,KOR
2000,Flood,Korea (the Republic of),"Pyongtaek area (Kyonggi-do province), Seoul province",13,KOR
2000,Transport accident,Lao People's Democratic Republic (the),Phasay mountain,18,LAO
2000,Transport accident,Lao People's Democratic Republic (the),Near Vientiane,10,LAO
2000,Epidemic,Lao People's Democratic Republic (the),Houaphanh,44,LAO
2000,Flood,Lao People's Democratic Republic (the),"Louang-Namtha, Bolikhamxai, Khammouan, Savannakhet, Champasak, Salavan, Vientiane, Vientiane capital province",15,LAO
2000,Epidemic,Lao People's Democratic Republic (the),"Savannakhet, Kham Muane, Savannakhet provinces",,LAO
2000,Miscellaneous accident,Lebanon,Naamé (near Beyrouth),10,LBN
2000,Flood,Sri Lanka,"Galle, Matara districts (Southern province)",2,LKA
2000,Flood,Sri Lanka,"Ampara, Batticaloa districts (Eastern province), Polonnaruwa district (North Central province)",3,LKA
2000,Epidemic,Sri Lanka,Matara,2,LKA
2000,Transport accident,Sri Lanka,Near Anuradhapura,40,LKA
2000,Storm,Mongolia,"Arxangai, Bayan-O'lgii, Bayanxongor, Bulgan, Darxan-Uul, Dornod, Dornogovi, Dundgovi, Govi-Altai, Govisu'mber, O'mnogovi, Orxon, O'vorxangai, Selenge, Su'xbaatar, To'v, Ulaanbaatar, Uvs, Xentii, Xovd, Xo'vsgol, Zavxan provinces",19,MNG
2000,Flood,Malaysia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",12,MYS
2000,Epidemic,Malaysia,"Johor, Selangar, Penang, Kedah, Terengganu states",2,MYS
2000,Transport accident,Malaysia,Limbang (Sarawak state),15,MYS
2000,Transport accident,Malaysia,Port Dickson,53,MYS
2000,Epidemic,Malaysia,Sarawak,2,MYS
2000,Storm,Malaysia,Pulau Pinang province,,MYS
2000,Epidemic,Nepal,,69,NPL
2000,Epidemic,Nepal,"Argakhachi, Lalitpur, Morang, Baitadi, Bhojpur, Gorkha, Baglung, Makawanpur, Dailekh, Ilam, Lamjung, Sarlahi, Parsa, Jhapa, Panchthar, Sunsari, Tarahthum, Dolakha, Kailali, Taplejung, Tanahu, Salyan, Kaski, Siraha, Saptari, Rautahat, Dhading, Darchula, Banke districts",250,NPL
2000,Transport accident,Nepal,Near Jogbudha (Dadaldhura district),25,NPL
2000,Transport accident,Nepal,,42,NPL
2000,Flood,Nepal,"Dhading, Lalitpur areas (Bagmati district, Central province), Dolakha, Sarlahi areas (Janakpur district, Central province), Makwanpur, Parsa, Rautahat areas (Narayani district, Central province), Bhojpur, Morang, Sunsari, Terhathum areas (Koshi district, Eastern province), Siraha, Saptari areas (Sagarmatha district, Eastern province), Baitadi, Darchula areas (Mahakali district, Far Western province), Kailali area (Seti district, Far Western province), Banke, Dailekh areas (Bheri district, Mid Western province), Salyan area (Rapti district, Mid Western province), Baglung area (Dhawalagiri district, Western province), Argakhachi area (Lumbini district, Western province), Gorkha, Lamjung, Tanahu, Kaski areas (Gandaki district, Western province), Mechi district (Eastern province)",144,NPL
2001,Industrial accident,China,Houjiachong (Hunan province),20,CHN
2001,Earthquake,India,"Ahmadabad, Amreli, Anand, Banas Kantha, Bharuch, Bhavnagar, Dahdod, Gandhinagar, Jamnagar, Junagadh, Kachchh, Kheda, Mahesana, Navsari, Patan, Porbandar, Rajkot, Sabar Kantha, Surat, Surendranagar, Vadodara districts (Gurajat province)",20005,IND
2001,Extreme temperature ,India,"Uttar Pradesh, Bihar, Punjab provinces",125,IND
2001,Transport accident,Iran (Islamic Republic of),Near Deilam port (Bouchehr province),12,IRN
2001,Extreme temperature ,Kazakhstan,"Ust Kamenogorsk area (Ulan district, Vostochno-kazachstanskaya province)",3,KAZ
2001,Storm,Korea (the Republic of),"Seoul, Kyonggi-do, Chungchongnam-do, Kyongsangbuk-do, Kyongsangnam-do provinces",11,KOR
2001,Epidemic,Nepal,Laprak village (Gorkha district),13,NPL
2001,Earthquake,Pakistan,"Badin District, Tharparkar District, Mirpur Khas District districts (Sindh province)",12,PAK
1998,Storm,Viet Nam,"Quang Binh, Khanh Hoa, Quang Tri, Thua Thien Hue, Quang Nam, Da Nang, Guang Ngai, Bin Dinh, Phu Yen, Ninh Thuan, Binh Thuan, Dac Lac, Kon Tum, Lam Dong, Giai Lai provinces",283,VNM
1998,Transport accident,Pakistan,Pendjab,65,PAK
1998,Transport accident,Pakistan,"Pendjab, Narowal",25,PAK
1998,Transport accident,Pakistan,Faisalabad,16,PAK
1998,Transport accident,Pakistan,Gilgit,23,PAK
1998,Transport accident,Pakistan,Mansehra Province,27,PAK
1998,Transport accident,Pakistan,Batagram,30,PAK
1998,Transport accident,Pakistan,Vihari,20,PAK
1998,Storm,Philippines (the),"E and W Samar, Cagayan, Pampanga, Bulacan, Isabela, Quenzon, W Mindoro, Palawan, Masbate, Albay, Sorsogon, Catanduanes, Aklan, Capiz, Antique, Iloilo, Leyte",69,PHL
1998,Transport accident,Philippines (the),Mindanao,27,PHL
1998,Transport accident,Philippines (the),,39,PHL
1998,Drought,Philippines (the),All country,8,PHL
1998,Miscellaneous accident,Philippines (the),Manilla,28,PHL
1998,Miscellaneous accident,Saudi Arabia,"Mina, La Mecque",118,SAU
1998,Epidemic,Singapore,,1,SGP
1998,Transport accident,Syrian Arab Republic,Hama,37,SYR
1998,Transport accident,Thailand,Near Surat Thani,101,THA
1998,Transport accident,Tajikistan,Douchanbe,21,TJK
1998,Transport accident,Turkmenistan,Vatutino,40,TKM
1998,Earthquake,Turkey,Kayseri,2,TUR
1998,Transport accident,Turkey,"Diyarbakir, Wsissre",20,TUR
1998,Transport accident,Turkey,Samsun region,17,TUR
1998,Transport accident,Turkey,Birecik,27,TUR
1998,Transport accident,Turkey,Diyarbakir,20,TUR
1998,Industrial accident,Turkey,Istanbul,7,TUR
1998,Flood,Taiwan (Province of China),"Tainan, Kaohsiung, Pintung, Yulin counties",3,TWN
1998,Storm,Taiwan (Province of China),,2,TWN
1998,Storm,Viet Nam,"Khanh Hoa, Phu Yen, Quang Nam, Ninh Thuan, Quang Ngai, Ben Tre, Bihn Thuan, Ca Mau provinces",43,VNM
1998,Epidemic,Viet Nam,N.A. on the source,214,VNM
1998,Transport accident,Viet Nam,Binh Dinh,50,VNM
1998,Industrial accident,Viet Nam,Thai Nguyen,25,VNM
1998,Transport accident,Yemen,,180,YEM
1999,Earthquake,Turkey,"Duzce, Bolu, Kaynasli",845,TUR
1999,Earthquake,Taiwan (Province of China),"Nantou, Taichung County",2264,TWN
1999,Flood,Viet Nam,"Binh Thuan, Lam Dong, Dac Lac and Dong Nai ",40,VNM
1999,Drought,Pakistan,"Thar, Kohistan, Kachoo (Sindh province), Lasbela, Kharan, Chaghi, Loralai,Zhob, Khuzdar, Kalat, Killa Saifullah, Pshin districts (Baluchistan Province)",143,PAK
1999,Storm,Pakistan,"Thatta, Umer Kot, Mirpu, Badin, Hyderabad, Tharparker (cities) - Level 1 = Baluchistan, Jammu and Kasmir, Sind",231,PAK
1999,Extreme temperature ,Pakistan,,11,PAK
1999,Transport accident,Pakistan,Pasni,21,PAK
1999,Transport accident,Pakistan,Ada Rodu Sultan,60,PAK
1999,Transport accident,Pakistan,Cachemire pakistanais,15,PAK
1999,Transport accident,Pakistan,Kallar Hahar (Pendjab),52,PAK
1999,Transport accident,Pakistan,Kotli,20,PAK
1999,Transport accident,Pakistan,,40,PAK
1999,Transport accident,Pakistan,Lahore,27,PAK
1999,Transport accident,Pakistan,Mer d'Arabie,17,PAK
1999,Transport accident,Pakistan,Shahdadpur,13,PAK
1999,Transport accident,Pakistan,Buradabad,3,PAK
1999,Transport accident,Pakistan,Wah,23,PAK
1999,Transport accident,Pakistan,Near Multan (Pendjab),55,PAK
1999,Miscellaneous accident,Pakistan,Daska (Punjab Province),10,PAK
1999,Miscellaneous accident,Pakistan,Hasilpur,14,PAK
1999,Flood,Pakistan,"Dadu, Level 1 = Sind",14,PAK
1999,Flood,Pakistan,"Sanjzvi, Dukki, Thal, Harnai (Valley of Ziarat), Level 1: N.W.F.P., Baluchistan",20,PAK
1999,Storm,Pakistan,"Kasur (Near Lahore), Level 1 = Punjab",27,PAK
1999,Earthquake,Philippines (the),Luzon (Manila Region),6,PHL
1999,Flood,Philippines (the),"Iligan city, towns of Kauswagan, Linamon and Bacolod (Lanao del Norte Province, Mindanao islands)",34,PHL
1999,Flood,Philippines (the),"Rizal, Pangasinan, Pampanga and Bulacan Provinces",130,PHL
1999,Flood,Philippines (the),Surigao del Sur Province,,PHL
1999,Landslide,Philippines (the),South of Philippines,19,PHL
1999,Landslide,Philippines (the),Compostela Valley (Mindanao Isl.),10,PHL
1999,Landslide,Philippines (the),Nord du pays,13,PHL
1999,Landslide,Philippines (the),Manilla,58,PHL
1999,Storm,Philippines (the),"Provinces Of Cagayan, Ilocos, Sur, Pangasinan, La Union",7,PHL
1999,Epidemic,Philippines (the),Pangasinan Province,10,PHL
1999,Transport accident,Philippines (the),Baguio,22,PHL
1999,Transport accident,Philippines (the),Cebu Isl.,41,PHL
1999,Transport accident,Philippines (the),Manille,13,PHL
1999,Miscellaneous accident,Philippines (the),Manilla,8,PHL
1999,Miscellaneous accident,Philippines (the),,,PHL
1999,Flood,Philippines (the),Gingoog,,PHL
1999,Storm,Philippines (the),Regions II - Batanes,,PHL
1999,Storm,Philippines (the),Region III - Zambales,,PHL
1999,Storm,Philippines (the),Region III,47,PHL
1999,Storm,Philippines (the),"Regions I, II, III and CAR",11,PHL
1999,Storm,Philippines (the),Region III,1,PHL
1999,Storm,Philippines (the),"Regions V, VIII",1,PHL
1999,Storm,Philippines (the),"Regions V, VI, VII",33,PHL
1999,Flood,Korea (the Democratic People's Republic of),"Kaesong, Kaepung, Panmun, Changpung (cities) Level 1 = Kaesong",42,PRK
1999,Industrial accident,"Palestine, State of",Hebron,14,PSE
1999,Transport accident,Saudi Arabia,Dhahran,12,SAU
1999,Transport accident,Saudi Arabia,Al-Ardhiya,12,SAU
1999,Miscellaneous accident,Saudi Arabia,Gadih (Province de Qatif),37,SAU
1999,Transport accident,Syrian Arab Republic,Palmyre,19,SYR
1999,Transport accident,Syrian Arab Republic,Nord de la Syrie,20,SYR
1999,Transport accident,Syrian Arab Republic,Deraa,12,SYR
1999,Transport accident,Syrian Arab Republic,,11,SYR
1999,Drought,Syrian Arab Republic,,,SYR
1999,Flood,Thailand,"Prachuap Khiri Khan, Phetchaburi, Ratchaburi, Kanchanaburi, Lop Buri, Phitsanulok, Phichit, Nakhon Sawan, Satun, Phuket",10,THA
1999,Flood,Thailand,"Surat Thani, Nakhon Si Thammarat, Chumphon Provinces",,THA
1999,Flood,Thailand,"Nakorn Srithammarat, Surat Thani, Songkla Provinces",3,THA
1999,Flood,Thailand,"Chantaburi, Trad, and Ubol Ratchathani Provinces",7,THA
1999,Flood,Thailand,Mae Hong Son & Tak Provinces,,THA
1999,Flood,Thailand,"Yala, Pattani, Narathiwat, Songkhla, Chumphon Provinces",2,THA
1999,Industrial accident,Thailand,Chiang Mai,35,THA
1999,Drought,Thailand,,,THA
1999,Flood,Tajikistan,"Ashd and Aini Districts (Leninabad Region), Gharm District, Jirgatal (Karategin Valley) and Darvaz District (Gorno-Badakhstan)",27,TJK
1999,Storm,Tajikistan,Leninabad Region,,TJK
1999,Epidemic,Tajikistan,Kulob,3,TJK
1999,Earthquake,Turkey,"Izmit, Kocaeli, Yalova, Golcuk, Zonguldak, Sakarya, Tekirdag, Istanbul, Bursa, Eskisehir, Bolu",17127,TUR
1999,Earthquake,Turkey,"Kocaeli, Bursa, Istanbul, Sakarya, Yalova Provinces",6,TUR
1999,Earthquake,Turkey,Marmaris,,TUR
1999,Earthquake,Turkey,Izmit,1,TUR
1999,Earthquake,Turkey,Sakarya Province,3,TUR
1999,Transport accident,Turkey,Corum Province,13,TUR
1999,Transport accident,Turkey,Sud-Est de la Turquie,13,TUR
1999,Transport accident,Turkey,Kadinhani Kadinhani Kadinhani,13,TUR
