Year,Disaster Type,Country,Location,Total Deaths,ISO
2010,Industrial accident,China,"Weidong district (Pingdingshan municipality, Henan province)",46,CHN
2010,Industrial accident,China,Guizhou,16,CHN
2010,Industrial accident,China,Dengfeng (Henan province),16,CHN
2010,Industrial accident,China,Nankin city (Jiangsu province),13,CHN
2010,Industrial accident,China,"Liugou (near Linfen, Shanxi province)",17,CHN
2010,Industrial accident,China,Near Yichun (Heilongjiang province),19,CHN
2010,Miscellaneous accident,China,"Pingyu (Yuzhou, Henan province)",37,CHN
2010,Miscellaneous accident,China,Shanghai,58,CHN
2010,Miscellaneous accident,China,Mianchi district (Henan province),26,CHN
2010,Industrial accident,China,"Lisheng (Xiangtan, Hunan province)",30,CHN
2010,Industrial accident,China,Jianxi,12,CHN
2010,Industrial accident,China,Zhengzhou (Henan province),25,CHN
2010,Industrial accident,China,"Lingnan (Zhaoyuan, Shandong province)",23,CHN
2010,Industrial accident,China,Wangjialing (Shanxi province),38,CHN
2010,Industrial accident,China,Gansu province,13,CHN
2010,Industrial accident,China,Hanchengg (Shaanxi province),28,CHN
2010,Industrial accident,China,Meihekou (Jilin province),11,CHN
2010,Industrial accident,China,Guizhou province,12,CHN
2010,Industrial accident,China,Xinjiang,10,CHN
2010,Miscellaneous accident,China,Luoyang (Henan province),41,CHN
2010,Miscellaneous accident,China,Hohhot (Inner Mongolia),10,CHN
2010,Miscellaneous accident,China,Urumqi (Xinjiang),12,CHN
2010,Miscellaneous accident,China,Jilin,19,CHN
2010,Storm,Hong Kong,Hong Kong,1,HKG
2010,Volcanic activity,Indonesia,"Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)",1,IDN
2010,Flood,Indonesia,Kolaka Utara district (Sulawasi Tenggara province),10,IDN
2010,Flood,Indonesia,"Toianas village (Timor Tengah Selatan district, Nusatenggara Timur province)",16,IDN
2010,Flood,Indonesia,Jawa Timur province,5,IDN
2010,Flood,Indonesia,Tabalong district (Kalimantan Selatan province),24,IDN
2010,Landslide,Indonesia,Sulawesi Tengah province,13,IDN
2010,Transport accident,Indonesia,Flores Archipel,10,IDN
2010,Transport accident,Indonesia,Nusa Tengarra,22,IDN
2010,Transport accident,Indonesia,Petarukan Pemlang (Java),36,IDN
2010,Miscellaneous accident,Indonesia,Sumatra Isl.,12,IDN
2010,Storm,India,"Mushalpur, Baksa towns (Nalbari district, Assam province)",28,IND
2010,Storm,India,"Bihar, Jharkhand provinces",25,IND
